organization_key,offer_internal_name,volume_type,volume_type1,volume_creation_date,nb_volumes,storage_size
e18f3215-3c77-42b6-afbf-42b163fa6b3b,GP1-S,b_ssd,volume_storage,2020-09-01 00:00,3,"1072,180545"
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,b_ssd,volume_storage,2022-11-01 00:00,6,1062
7b4f6a00-217c-464f-88da-84442bf53bb6,GP1-XS,b_ssd,volume_storage,2021-11-01 00:00,7,1054
d1d012b1-f72d-4db4-8686-e52c98f6a074,DEV1-M,l_ssd,utility disk,2023-02-01 00:00,28,"1043,081284"
80fb9a65-9df2-49fa-88d5-858cd3f15e18,GP1-L,b_ssd,volume_storage,2022-03-01 00:00,10,1034
db222214-da83-4696-8045-30162b542988,GP1-S,b_ssd,utility disk,2022-01-01 00:00,2,"1024,454832"
107d677a-cc28-44be-98ed-5baaeb808eab,GP1-M,b_ssd,volume_storage,2022-11-01 00:00,3,1000
2d61a744-4ff1-4181-bfb9-9ed9a196886b,PRO2-XS,b_ssd,volume_storage,2022-10-01 00:00,2,1000
23835c74-17fa-4edf-9791-94dbe9c12cb6,GP1-XS,b_ssd,volume_storage,2022-10-01 00:00,1,1000
107d677a-cc28-44be-98ed-5baaeb808eab,DEV1-L,b_ssd,volume_storage,2023-02-01 00:00,1,1000
8658f5bb-04b0-41b9-a8de-533025d4e2c7,GP1-XS,l_ssd,utility disk,2021-06-01 00:00,7,"977,8887033"
b02adf04-ef53-48d6-b9e9-9eef4da5ba43,GP1-XS,l_ssd,utility disk,2022-04-01 00:00,7,"977,8887033"
c59c56c4-79dc-4204-9f66-736877fad7e9,GP1-XS,l_ssd,utility disk,2022-06-01 00:00,7,"977,8887033"
1f0161ec-4cb6-4798-9917-42e495281c80,GP1-XS,l_ssd,utility disk,2023-01-01 00:00,7,"977,8887033"
f7297975-8a39-4a3a-a81a-b6a41040f5d4,GP1-XS,l_ssd,utility disk,2022-11-01 00:00,7,"977,8887033"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,b_ssd,volume_storage,2022-07-01 00:00,47,961
926fe225-7dfa-496a-9461-5600ce6dbcb2,PRO2-L,b_ssd,utility disk,2023-02-01 00:00,5,"931,3225746"
4c32dfe8-4e71-4521-9924-3c01d939c977,GP1-S,l_ssd,utility disk,2022-12-01 00:00,6,"922,0093489"
34b84430-65ff-4d8c-969e-538d458a3d59,GP1-XS,b_ssd,utility disk,2022-06-01 00:00,28,"914,5893526"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-S,b_ssd,volume_storage,2022-09-01 00:00,29,907
9093227c-3287-4c52-ab35-91db2af43449,GP1-XS,b_ssd,volume_storage,2022-11-01 00:00,3,900
7113fcd0-5086-4985-b458-713a74af8f7e,GP1-XS,b_ssd,volume_storage,2021-12-01 00:00,4,900
fdf934a5-274e-46b0-9296-124fd5a291d4,DEV1-L,l_ssd,utility disk,2021-10-01 00:00,12,"894,0696716"
fdf934a5-274e-46b0-9296-124fd5a291d4,DEV1-L,l_ssd,utility disk,2022-05-01 00:00,12,"894,0696716"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,b_ssd,volume_storage,2022-07-01 00:00,30,890
c16f6c33-d1b8-4cec-9ae0-a08817e32919,GP1-XS,b_ssd,volume_storage,2022-06-01 00:00,14,884
214d5162-e29d-4e59-9ee5-a348cb60e36b,DEV1-M,l_ssd,utility disk,2022-11-01 00:00,23,"856,8167686"
1f0161ec-4cb6-4798-9917-42e495281c80,GP1-XS,b_ssd,utility disk,2020-09-01 00:00,3,850
23835c74-17fa-4edf-9791-94dbe9c12cb6,GP1-XS,b_ssd,volume_storage,2022-11-01 00:00,17,841
73f66a0e-f799-4f90-b92c-1b56246368cd,GP1-S,l_ssd,utility disk,2022-05-01 00:00,3,"838,1903172"
24529a2d-aa91-4e79-b54c-df166dacdf0d,GP1-S,l_ssd,utility disk,2023-01-01 00:00,3,"838,1903172"
ed53d2bb-8d3c-41af-83c4-013c3b112721,GP1-S,l_ssd,utility disk,2021-02-01 00:00,3,"838,1903172"
0e5249bc-c22c-42a9-b30d-6105fc814d75,GP1-S,l_ssd,utility disk,2022-12-01 00:00,3,"838,1903172"
8926a6a7-3469-439f-85e9-f44f3c35cf32,GP1-S,l_ssd,utility disk,2023-01-01 00:00,3,"838,1903172"
44454afe-6f11-467f-8f60-f5e1c2896489,GP1-S,l_ssd,utility disk,2022-03-01 00:00,3,"838,1903172"
6bfa5821-3f34-4e14-b503-68a186b18601,GP1-XS,l_ssd,utility disk,2022-02-01 00:00,6,"838,1903172"
05ae0b1b-8c38-437d-a62d-53730b084c6f,GP1-S,l_ssd,utility disk,2022-06-01 00:00,3,"838,1903172"
e18f3215-3c77-42b6-afbf-42b163fa6b3b,GP1-S,l_ssd,utility disk,2022-10-01 00:00,3,"838,1903172"
59e96aab-8420-4284-aefd-76d3a11ccde3,GP1-S,l_ssd,utility disk,2022-06-01 00:00,3,"838,1903172"
71d5ea90-7288-4d6e-b0a6-022c84263270,GP1-S,l_ssd,utility disk,2022-06-01 00:00,3,"838,1903172"
832a5d56-91e2-42f8-bea5-304296616eb3,GP1-S,l_ssd,utility disk,2022-07-01 00:00,3,"838,1903172"
e55beae3-8fb1-4043-b013-ca72aa99cdf2,GP1-S,l_ssd,utility disk,2022-08-01 00:00,3,"838,1903172"
669ccf6f-a131-4a99-b23a-677f7ca7fa04,GP1-XS,l_ssd,utility disk,2022-08-01 00:00,6,"838,1903172"
